iter	RMSE
0	241.2245489
1	202.6381454
2	182.2591892
3	171.0322179
4	166.5511168
5	164.3684954
6	160.4614688
7	157.7885978
8	154.646598
9	153.0128976
10	151.7180234
11	150.0507025
12	149.2843419
13	147.6719775
14	146.3110154
15	145.140535
16	143.8720105
17	142.7919205
18	141.9537908
19	140.1284557
20	139.0147851
21	137.4002721
22	136.9059193
23	135.1651291
24	133.5219689
25	133.0823968
26	132.5510934
27	131.1904749
28	129.8458715
29	129.1836015
30	128.011171
31	127.0255024
32	126.5283376
33	125.3889829
34	125.166695
35	124.3919168
36	123.8136897
37	123.6392924
38	122.2049691
39	121.121459
40	120.0130123
41	119.1027111
42	118.7532231
43	118.1911861
44	117.5864293
45	116.3983242
46	116.2717191
47	115.1099961
48	114.6151282
49	113.9365596
