iter	RMSE
0	249.4618588
1	208.4837941
2	187.3371354
3	176.6694541
4	172.9000829
5	169.3449344
6	165.3017989
7	162.9976403
8	161.3164668
9	158.6838032
10	157.1526795
11	155.1982351
12	153.8260456
13	152.507376
14	151.4183424
15	150.5674493
16	149.8482715
17	149.2152968
18	148.2749281
19	147.1343581
20	146.7860124
21	146.2806341
22	145.8287095
23	145.1787796
24	143.6070448
25	142.2764128
26	140.8438386
27	140.6173569
28	139.8644527
29	139.1603973
30	137.4144475
31	136.6514148
32	135.1303199
33	133.9652132
34	133.4020267
35	133.1644365
36	132.9743242
37	131.635073
38	130.6733717
39	129.5677375
40	127.8817198
41	126.2499385
42	125.756431
43	124.3940708
44	123.040771
45	121.9679714
46	120.7701676
47	120.4815936
48	119.9400788
49	119.1400529
