models,smape,mae,rmse,mase
tirex Hong_Kong_Dengue long,29.95168620434533,2.815384793281555,3.7820099085147354,0.6368132270517802
tirex Colombia_Malaria long,21.99134801667048,350.94159419952877,466.11029171331313,1.999299718861599
tirex Bangkok_Dengue long,40.8362986982077,271.12282307942706,339.2704142202106,1.3912127957592093
tirex Ahmedabad_Dengue long,52.86650097557062,5.282366719356803,8.078968010707431,0.8734622134369517
tirex Mexico_Influenza long,86.32013845348126,31.095010412744728,52.875279793822436,2.1867846087865077
tirex Australia_Inflluenza long,92.30491149014384,41.525052839395954,62.651580659489525,2.5770506240699986
tirex Venezuela_Malaria long,41.078607380862714,501.689867617479,565.7113136878339,2.995705352642144
tirex Singapore_Dengue long,36.630137017889524,96.14232553754535,145.97470703508074,2.286479375248213
tirex Iquitos_Dengue long,112.08279563670366,6.284308727582296,9.951969181092998,1.6478853996771354
tirex Columbia_Dengue long,36.443944194704734,687.9061860584077,779.9154935000951,4.340543815959829
tirex Venezuela_Dengue long,37.95067671880597,481.7043669729522,643.6285602341195,3.4521261139186206
tirex Philippines_Dengue long,42.94723709609664,19.492151649325283,22.744166690559332,0.6349106076735921
tirex Japan_Influenza long,67.14321094418565,54.938930157533626,102.20708448902136,1.4094434246721614
tirex Sanjuan_Dengue long,77.3643226354779,40.63263891537984,67.41067779132888,4.036130242846578
tirex China_Hepatitis_B long,7.47021062688534,7135.5359375,8091.72885679761,1.0043135155370324
