models,smape,mae,rmse,mase
lagllama Hong_Kong_Dengue long,89.7229776921621,5.402921831607818,6.278893895611741,1.222089461911292
lagllama Colombia_Malaria long,46.76911750197792,657.4876408652653,824.3650653214427,3.745679843209267
lagllama Bangkok_Dengue long,60.65029042682363,361.02775404188367,451.8040859024866,1.8525420521316096
lagllama Ahmedabad_Dengue long,95.92277249870507,12.690023106197978,16.846309678481457,2.0983502774028153
lagllama Mexico_Influenza long,159.84241060173986,42.5351820336767,61.62007130368202,2.991324980069888
lagllama Australia_Inflluenza long,173.34336525163764,78.11215200716136,108.69121440618572,4.847651148237142
lagllama Venezuela_Malaria long,59.41397841839803,692.5229788253556,863.449639842891,4.135213661673163
lagllama Singapore_Dengue long,138.53390632889773,243.0062786283947,297.7255550531171,5.779232414371565
lagllama Iquitos_Dengue long,153.2822332211094,13.113881969451905,21.588216502762243,3.4387512719896107
lagllama Columbia_Dengue long,40.10979442112985,771.2095288473462,873.6005704162947,4.866170444589402
lagllama Venezuela_Dengue long,71.64598098723602,747.0774471398556,974.601237309941,5.353917757893122
lagllama Philippines_Dengue long,81.32059476476712,51.36867315118963,55.05741553119574,1.6732126893619133
lagllama Japan_Influenza long,190.76886604041874,239.706720765104,299.9400852368758,6.14961122219401
lagllama Sanjuan_Dengue long,148.6916467281656,61.20397893587748,86.36681435256101,6.079527123012872
lagllama China_Hepatitis_B long,10.068301417064744,9833.771875,11964.42946050471,1.384085244510822
