models,smape,mae,rmse,mase
lagllama Hong_Kong_Dengue medium,81.87526645539847,5.443143677711487,6.266344264537147,1.324007921605497
lagllama Colombia_Malaria medium,28.547873175891564,358.9807319641113,427.8829012415683,3.407349262366029
lagllama Bangkok_Dengue medium,118.00936120780167,701.466064453125,798.7449187637276,2.4146852476871774
lagllama Ahmedabad_Dengue medium,145.3863437627963,21.994387063113127,26.240112412719125,2.209962336485051
lagllama Mexico_Influenza medium,173.83169613256388,41.272360023998075,64.78542316812973,6.584306462972456
lagllama Australia_Inflluenza medium,136.40360840077005,73.3518942521543,108.76873454564945,4.490932301152304
lagllama Venezuela_Malaria medium,15.343548590681408,228.56003705193015,271.1453529138423,1.312192279525695
lagllama Singapore_Dengue medium,191.31183879262602,340.20562562488374,369.5471479692907,9.619607345255332
lagllama Iquitos_Dengue medium,116.72470471919696,12.119986255963644,15.853413491724998,1.9206535596882277
lagllama Columbia_Dengue medium,55.976899355210506,981.6800842285156,1078.4112332829752,9.524908485472295
lagllama Venezuela_Dengue medium,38.16691460616778,450.01067930279356,566.3220936381985,3.0750249279712563
lagllama Philippines_Dengue medium,92.39710743564201,37.724100748697914,43.64386618958699,1.4320163149066598
lagllama Japan_Influenza medium,149.35250128995617,244.4924864477041,290.66699067087274,6.381533088357693
lagllama Sanjuan_Dengue medium,86.51827604433377,51.53081636428833,74.36093383339103,3.598009663305339
lagllama China_Hepatitis_B medium,7.122527093001414,6889.5140625,7274.340159130904,1.2525250545404965
