iter	RMSE
0	292.2326169
1	252.7347332
2	224.7567052
3	205.669455
4	193.3221099
5	184.6704663
6	178.1197144
7	173.1666659
8	169.8933383
9	168.0224018
10	166.1610548
11	164.7002822
12	163.7794183
13	161.256004
14	159.8467089
15	158.6201832
16	157.8187346
17	156.6273756
18	155.3520076
19	154.4273761
20	153.4148982
21	152.4017924
22	151.2854189
23	150.4294793
24	149.8067415
25	149.1878718
26	148.5906888
27	148.0350784
28	146.7685124
29	146.159649
30	145.8376355
31	145.3132413
32	143.9857375
33	143.5198794
34	142.6629825
35	141.9610637
36	141.6382197
37	141.330794
38	141.0687487
39	140.5478272
40	140.3176395
41	139.3386462
42	138.7308658
43	137.5953006
44	136.9639869
45	136.655295
46	135.4693065
47	135.226938
48	134.2469369
49	133.9013759
50	133.1135027
51	132.0372891
52	130.7511151
53	130.4864663
54	130.2692197
55	129.7658943
56	129.6473601
57	129.1006044
58	128.5930055
59	128.4450906
60	128.2913799
61	127.7919381
62	127.7533257
63	127.4591577
64	127.0661175
65	126.957446
66	126.4084368
67	125.9486655
68	125.4974107
69	124.8443154
70	124.5798432
71	124.3886819
72	123.8308991
73	123.5995688
74	123.5354729
75	122.946997
76	122.5148855
77	122.2977722
78	121.4964553
79	120.9235318
80	120.6110945
81	120.4382326
82	120.0299422
83	119.8179726
84	119.3484182
85	119.208405
86	118.6166455
87	118.51272
88	118.0619271
89	117.2899178
90	116.9296041
91	116.4517503
92	116.1063046
93	115.9207192
94	115.549934
95	115.472676
96	115.4055251
97	114.9120835
98	114.3572369
99	113.9283167
