iter	Passed	Remaining
0	0	57
1	0	45
2	1	41
3	1	38
4	1	36
5	2	35
6	2	34
7	2	33
8	3	32
9	3	32
10	3	31
11	4	30
12	4	30
13	4	29
14	5	29
15	5	28
16	5	28
17	6	27
18	6	27
19	6	27
20	7	26
21	7	26
22	7	25
23	8	25
24	8	25
25	8	25
26	9	24
27	9	24
28	9	24
29	10	24
30	10	23
31	10	23
32	11	22
33	11	22
34	12	22
35	12	22
36	12	21
37	13	21
38	13	21
39	13	20
40	14	20
41	14	20
42	14	19
43	15	19
44	15	19
45	15	18
46	16	18
47	16	17
48	16	17
49	17	17
50	17	16
51	17	16
52	18	16
53	18	15
54	18	15
55	19	15
56	19	14
57	19	14
58	20	14
59	20	13
60	20	13
61	21	12
62	21	12
63	21	12
64	22	11
65	22	11
66	22	11
67	23	10
68	23	10
69	24	10
70	24	9
71	24	9
72	25	9
73	25	8
74	25	8
75	26	8
76	26	7
77	27	7
78	27	7
79	27	6
80	28	6
81	28	6
82	29	5
83	29	5
84	29	5
85	29	4
86	30	4
87	30	4
88	30	3
89	31	3
90	31	3
91	31	2
92	32	2
93	32	2
94	32	1
95	33	1
96	33	1
97	33	0
98	34	0
99	34	0
